Amsterdam,872680
Beijing,21542000
Changsha,7044118
Chengdu,10152632
Chongqing,8518000
Edinburgh,518500
Florence,382258
Hangzhou,9806000
Houston,2313000
Konya,2180000
Lanzhou,3616163
London,8900000
Los Angeles,4000000
Madrid,6550000
Melbourne,4936000
Mexico City,8855000
Moscow,1192000
Nanjing,8335000
New York City,8623000
Oświęcim,39057
Paris,2148271
Saint Petersburg,4991000
Seoul,9776000
Shanghai,24240000
Suzhou,10720000
Taichung,2815000
Taipei,2646000
Tokyo,9273000
Vatican City,1000
Washington D.C.,633427
Xi'an,12000000
